price,totsp,livesp,kitsp,dist,metrdist,walk,brick,floor,price_m2,area,metro_line
112,75,42,10.0,12.0,5,на транспорте,другой,средний,1493.33,Юго-восток,Люблинская
99,67,37,7.0,10.5,10,на транспорте,кирпичный/монолит,средний,1477.61,Северо-запад,Замоскворецкая
170,89,51,12.0,12.7,6,пешком,другой,первый или последний,1910.11,Юго-восток,Люблинская
198,80,45,10.0,7.0,7,на транспорте,другой,средний,2475.0,Северо-запад,Таганско-Краснопресненская
89,51,34,6.0,3.5,10,пешком,другой,первый или последний,1745.1,Восток,Калининская
193,78,55,8.0,7.5,10,пешком,другой,средний,2474.36,Северо-запад,Замоскворецкая
100,57,42,6.0,11.0,10,пешком,кирпичный/монолит,средний,1754.39,Юго-восток,Люблинская
135,77,47,10.0,13.5,10,на транспорте,другой,средний,1753.25,Север,Калужско-Рижская
100,78,44,8.0,13.5,20,на транспорте,другой,средний,1282.05,Север,Калужско-Рижская
136,64,38,8.0,3.0,3,пешком,другой,средний,2125.0,Север,Калужско-Рижская
133,80,48,10.0,10.5,10,пешком,другой,первый или последний,1662.5,Восток,Калининская
145,85,58,8.0,12.0,4,пешком,кирпичный/монолит,средний,1705.88,Восток,Арбатско-Покровская
105,79,52,10.0,14.5,10,на транспорте,другой,первый или последний,1329.11,Северо-запад,Замоскворецкая
97,53,34,6.0,9.0,5,пешком,другой,средний,1830.19,Северо-запад,Таганско-Краснопресненская
220,103,49,13.0,14.5,10,пешком,кирпичный/монолит,средний,2135.92,Северо-запад,Замоскворецкая
125,77,45,10.0,12.0,10,пешком,другой,средний,1623.38,Юго-восток,Люблинская
110,81,45,10.0,13.0,12,пешком,другой,средний,1358.02,Юго-восток,Люблинская
153,87,66,9.0,7.5,10,пешком,кирпичный/монолит,средний,1758.62,Восток,Арбатско-Покровская
137,74,44,10.0,15.5,8,на транспорте,другой,средний,1851.35,Север,Калужско-Рижская
85,59,45,6.0,12.0,5,пешком,другой,средний,1440.68,Юго-восток,Люблинская
95,64,45,6.0,12.5,10,пешком,другой,первый или последний,1484.38,Север,Серпуховско-Тимирязевская
115,67,41,9.0,14.5,7,на транспорте,другой,средний,1716.42,Север,Серпуховско-Тимирязевская
76,55,36,6.0,12.5,15,на транспорте,кирпичный/монолит,первый или последний,1381.82,Северо-запад,Замоскворецкая
139,80,48,10.0,10.5,15,пешком,другой,средний,1737.5,Восток,Калининская
350,80,44,14.0,10.5,10,пешком,кирпичный/монолит,первый или последний,4375.0,Восток,Калининская
105,66,40,8.0,12.5,5,пешком,другой,средний,1590.91,Север,Серпуховско-Тимирязевская
110,51,34,6.0,3.5,7,пешком,другой,средний,2156.86,Восток,Калининская
99,66,44,8.0,12.0,5,пешком,другой,первый или последний,1500.0,Юго-восток,Люблинская
90,60,45,6.0,13.5,5,пешком,другой,средний,1500.0,Юго-восток,Таганско-Краснопресненская
130,80,46,10.0,10.5,15,пешком,другой,средний,1625.0,Восток,Калининская
165,65,45,9.0,9.0,10,пешком,кирпичный/монолит,средний,2538.46,Северо-запад,Замоскворецкая
130,75,44,11.0,13.5,10,на транспорте,другой,средний,1733.33,Север,Калужско-Рижская
158,78,48,9.0,9.0,4,пешком,кирпичный/монолит,средний,2025.64,Северо-запад,Таганско-Краснопресненская
380,130,72,15.0,7.0,5,на транспорте,другой,средний,2923.08,Северо-запад,Таганско-Краснопресненская
210,80,42,20.0,8.0,5,пешком,другой,средний,2625.0,Север,Калужско-Рижская
116,75,51,9.0,3.5,5,на транспорте,кирпичный/монолит,первый или последний,1546.67,Восток,Калининская
140,76,44,10.0,12.5,5,пешком,другой,средний,1842.11,Север,Серпуховско-Тимирязевская
130,86,54,13.0,6.0,10,пешком,другой,средний,1511.63,Юго-восток,Таганско-Краснопресненская
82,51,35,6.0,12.5,5,пешком,другой,средний,1607.84,Север,Серпуховско-Тимирязевская
208,115,70,14.0,10.0,3,пешком,кирпичный/монолит,средний,1808.7,Юго-восток,Таганско-Краснопресненская
99,65,40,8.0,17.0,12,пешком,другой,первый или последний,1523.08,Север,Серпуховско-Тимирязевская
110,77,46,11.0,13.0,2,пешком,другой,средний,1428.57,Юго-восток,Люблинская
470,120,75,18.0,9.0,10,пешком,кирпичный/монолит,средний,3916.67,Северо-запад,Замоскворецкая
105,57,42,6.0,3.0,15,пешком,кирпичный/монолит,средний,1842.11,Север,Калужско-Рижская
169,70,44,8.0,8.0,5,пешком,кирпичный/монолит,средний,2414.29,Север,Калужско-Рижская
94,64,45,7.0,12.5,12,пешком,другой,средний,1468.75,Север,Серпуховско-Тимирязевская
136,78,46,10.0,12.5,5,на транспорте,другой,первый или последний,1743.59,Север,Серпуховско-Тимирязевская
88,55,38,6.0,6.5,10,пешком,кирпичный/монолит,первый или последний,1600.0,Север,Серпуховско-Тимирязевская
130,81,56,9.0,6.0,7,пешком,кирпичный/монолит,средний,1604.94,Юго-восток,Таганско-Краснопресненская
150,87,55,10.0,12.0,3,пешком,другой,средний,1724.14,Восток,Арбатско-Покровская
84,58,43,5.0,12.0,15,пешком,кирпичный/монолит,первый или последний,1448.28,Восток,Калининская
74,60,43,6.0,13.5,5,на транспорте,другой,первый или последний,1233.33,Юго-восток,Таганско-Краснопресненская
138,77,45,10.0,13.0,5,на транспорте,другой,средний,1792.21,Юго-восток,Люблинская
125,62,42,10.0,12.0,10,пешком,другой,средний,2016.13,Север,Калужско-Рижская
105,57,40,6.0,4.5,5,пешком,кирпичный/монолит,средний,1842.11,Восток,Арбатско-Покровская
138,70,45,8.0,10.5,10,пешком,кирпичный/монолит,средний,1971.43,Северо-запад,Замоскворецкая
129,86,55,10.0,10.5,10,на транспорте,другой,первый или последний,1500.0,Северо-запад,Замоскворецкая
120,56,42,6.0,12.0,5,пешком,кирпичный/монолит,средний,2142.86,Восток,Калининская
95,64,39,8.0,12.0,15,пешком,другой,средний,1484.38,Восток,Калининская
82,56,39,5.0,10.5,5,на транспорте,кирпичный/монолит,средний,1464.29,Северо-запад,Замоскворецкая
74,51,35,6.0,13.5,10,пешком,другой,первый или последний,1450.98,Юго-восток,Таганско-Краснопресненская
110,83,47,10.0,17.0,10,пешком,другой,средний,1325.3,Северо-запад,Таганско-Краснопресненская
87,60,43,6.0,12.0,7,на транспорте,другой,средний,1450.0,Восток,Калининская
190,81,46,12.0,12.0,5,на транспорте,другой,средний,2345.68,Восток,Арбатско-Покровская
90,58,43,6.0,17.0,10,пешком,другой,средний,1551.72,Северо-запад,Таганско-Краснопресненская
152,79,53,8.0,9.0,3,пешком,другой,средний,1924.05,Северо-запад,Таганско-Краснопресненская
120,74,40,12.0,12.7,7,пешком,кирпичный/монолит,средний,1621.62,Юго-восток,Люблинская
195,83,55,10.0,4.5,3,пешком,кирпичный/монолит,первый или последний,2349.4,Восток,Арбатско-Покровская
144,80,51,10.0,13.5,10,пешком,другой,средний,1800.0,Север,Калужско-Рижская
149,78,48,13.0,4.5,5,пешком,кирпичный/монолит,средний,1910.26,Восток,Арбатско-Покровская
140,56,40,5.0,9.0,5,пешком,кирпичный/монолит,первый или последний,2500.0,Северо-запад,Замоскворецкая
105,57,44,6.0,9.0,5,пешком,кирпичный/монолит,первый или последний,1842.11,Северо-запад,Таганско-Краснопресненская
185,73,45,8.0,3.0,2,пешком,кирпичный/монолит,средний,2534.25,Север,Калужско-Рижская
115,78,54,8.0,11.5,10,пешком,кирпичный/монолит,средний,1474.36,Юго-восток,Таганско-Краснопресненская
115,74,45,10.0,13.0,15,пешком,другой,средний,1554.05,Юго-восток,Люблинская
106,58,44,6.0,7.0,10,на транспорте,другой,первый или последний,1827.59,Северо-запад,Таганско-Краснопресненская
92,64,39,8.0,12.0,7,на транспорте,другой,средний,1437.5,Север,Калужско-Рижская
105,56,42,6.0,3.0,15,пешком,кирпичный/монолит,средний,1875.0,Север,Калужско-Рижская
120,82,44,11.0,12.7,12,пешком,другой,средний,1463.41,Юго-восток,Люблинская
52,86,46,9.0,12.0,10,на транспорте,другой,средний,604.65,Восток,Калининская
169,95,58,14.0,9.0,7,на транспорте,кирпичный/монолит,средний,1778.95,Северо-запад,Таганско-Краснопресненская
225,80,53,9.0,7.0,5,пешком,кирпичный/монолит,средний,2812.5,Северо-запад,Таганско-Краснопресненская
94,59,43,5.0,14.5,5,на транспорте,другой,средний,1593.22,Северо-запад,Замоскворецкая
99,76,45,10.0,12.0,10,пешком,другой,средний,1302.63,Юго-восток,Люблинская
86,51,35,6.0,17.0,10,пешком,другой,первый или последний,1686.27,Северо-запад,Таганско-Краснопресненская
177,80,50,9.0,4.5,2,пешком,другой,первый или последний,2212.5,Восток,Арбатско-Покровская
113,75,45,10.0,12.0,7,пешком,другой,средний,1506.67,Юго-восток,Люблинская
110,76,46,10.0,13.0,7,пешком,другой,средний,1447.37,Юго-восток,Люблинская
145,78,50,10.0,12.0,3,пешком,другой,средний,1858.97,Юго-восток,Люблинская
90,56,41,5.0,6.0,15,пешком,кирпичный/монолит,средний,1607.14,Юго-восток,Таганско-Краснопресненская
199,127,62,20.0,13.5,10,на транспорте,кирпичный/монолит,средний,1566.93,Север,Калужско-Рижская
372,158,80,20.0,10.5,10,пешком,другой,средний,2354.43,Северо-запад,Замоскворецкая
95,58,42,6.0,7.5,15,пешком,кирпичный/монолит,средний,1637.93,Северо-запад,Замоскворецкая
78,51,34,6.0,13.5,10,пешком,кирпичный/монолит,средний,1529.41,Юго-восток,Таганско-Краснопресненская
135,84,45,11.0,12.0,10,на транспорте,другой,средний,1607.14,Восток,Калининская
100,80,45,12.0,12.7,15,пешком,другой,средний,1250.0,Юго-восток,Люблинская
153,76,46,10.0,9.0,5,на транспорте,другой,средний,2013.16,Северо-запад,Таганско-Краснопресненская
95,65,47,9.0,13.5,7,пешком,другой,средний,1461.54,Юго-восток,Таганско-Краснопресненская
103,60,43,6.0,12.5,5,пешком,другой,средний,1716.67,Север,Серпуховско-Тимирязевская
114,80,45,13.0,12.0,7,пешком,другой,первый или последний,1425.0,Юго-восток,Люблинская
113,85,46,10.0,12.0,15,на транспорте,другой,средний,1329.41,Восток,Калининская
108,80,52,10.0,12.0,10,на транспорте,другой,средний,1350.0,Восток,Калининская
107,74,44,11.0,13.0,5,на транспорте,другой,первый или последний,1445.95,Юго-восток,Люблинская
100,77,52,9.0,10.5,15,на транспорте,кирпичный/монолит,средний,1298.7,Северо-запад,Замоскворецкая
106,76,43,12.0,13.0,5,на транспорте,другой,первый или последний,1394.74,Юго-восток,Люблинская
84,60,44,6.0,13.5,7,на транспорте,другой,средний,1400.0,Север,Калужско-Рижская
139,73,51,9.0,7.5,10,на транспорте,кирпичный/монолит,первый или последний,1904.11,Восток,Арбатско-Покровская
106,76,46,10.0,13.0,5,на транспорте,другой,средний,1394.74,Юго-восток,Люблинская
124,78,55,8.0,13.5,10,пешком,кирпичный/монолит,средний,1589.74,Север,Калужско-Рижская
112,65,40,8.0,17.0,5,пешком,другой,первый или последний,1723.08,Север,Серпуховско-Тимирязевская
110,65,43,7.0,12.0,10,на транспорте,другой,средний,1692.31,Восток,Калининская
80,60,44,6.0,13.5,10,на транспорте,другой,средний,1333.33,Юго-восток,Таганско-Краснопресненская
115,58,41,5.0,7.5,7,пешком,кирпичный/монолит,первый или последний,1982.76,Северо-запад,Замоскворецкая
138,68,46,8.0,9.0,10,пешком,другой,средний,2029.41,Северо-запад,Таганско-Краснопресненская
50,63,47,7.0,12.0,20,на транспорте,кирпичный/монолит,первый или последний,793.65,Восток,Калининская
132,77,43,8.0,12.5,5,пешком,другой,средний,1714.29,Север,Серпуховско-Тимирязевская
80,58,43,6.0,10.0,10,пешком,кирпичный/монолит,средний,1379.31,Юго-восток,Таганско-Краснопресненская
88,59,44,6.0,13.5,10,пешком,другой,средний,1491.53,Юго-восток,Таганско-Краснопресненская
194,106,60,17.0,9.0,5,на транспорте,кирпичный/монолит,средний,1830.19,Северо-запад,Таганско-Краснопресненская
130,78,54,8.0,7.5,10,на транспорте,другой,средний,1666.67,Восток,Арбатско-Покровская
86,50,34,6.0,12.0,10,на транспорте,другой,первый или последний,1720.0,Восток,Арбатско-Покровская
128,70,50,8.0,5.0,5,пешком,кирпичный/монолит,первый или последний,1828.57,Северо-запад,Таганско-Краснопресненская
155,85,53,7.0,4.5,10,пешком,другой,первый или последний,1823.53,Восток,Арбатско-Покровская
270,105,74,18.0,5.0,1,пешком,кирпичный/монолит,средний,2571.43,Северо-запад,Таганско-Краснопресненская
85,60,43,6.0,14.5,6,на транспорте,другой,средний,1416.67,Север,Серпуховско-Тимирязевская
135,76,44,10.0,12.7,2,пешком,другой,первый или последний,1776.32,Юго-восток,Люблинская
200,122,68,12.0,10.0,5,пешком,другой,средний,1639.34,Юго-восток,Таганско-Краснопресненская
90,51,35,6.0,7.0,3,пешком,другой,средний,1764.71,Северо-запад,Таганско-Краснопресненская
133,65,47,8.0,12.5,2,пешком,другой,средний,2046.15,Северо-запад,Замоскворецкая
103,69,44,9.0,14.5,10,на транспорте,другой,средний,1492.75,Северо-запад,Замоскворецкая
89,61,44,6.0,12.5,10,пешком,другой,средний,1459.02,Север,Серпуховско-Тимирязевская
81,56,39,6.0,11.5,10,пешком,другой,средний,1446.43,Юго-восток,Таганско-Краснопресненская
106,58,42,6.0,12.0,5,пешком,кирпичный/монолит,средний,1827.59,Восток,Арбатско-Покровская
166,77,45,11.0,10.5,15,пешком,кирпичный/монолит,средний,2155.84,Северо-запад,Замоскворецкая
78,55,37,6.0,11.5,2,пешком,кирпичный/монолит,средний,1418.18,Юго-восток,Таганско-Краснопресненская
110,77,45,10.0,12.0,10,на транспорте,другой,средний,1428.57,Восток,Калининская
120,74,44,10.0,12.7,10,пешком,другой,средний,1621.62,Юго-восток,Люблинская
100,80,51,10.0,13.5,10,на транспорте,другой,средний,1250.0,Юго-восток,Таганско-Краснопресненская
127,76,42,10.0,13.5,10,на транспорте,другой,средний,1671.05,Юго-восток,Таганско-Краснопресненская
150,75,46,11.0,9.0,15,пешком,другой,средний,2000.0,Северо-запад,Таганско-Краснопресненская
99,79,62,6.0,17.0,2,пешком,кирпичный/монолит,первый или последний,1253.16,Северо-запад,Таганско-Краснопресненская
118,67,44,8.0,6.0,10,пешком,другой,средний,1761.19,Юго-восток,Таганско-Краснопресненская
120,63,43,9.0,12.0,1,пешком,другой,первый или последний,1904.76,Восток,Арбатско-Покровская
85,64,45,7.0,15.5,10,пешком,другой,первый или последний,1328.12,Север,Калужско-Рижская
167,78,54,8.0,9.0,10,пешком,кирпичный/монолит,средний,2141.03,Северо-запад,Замоскворецкая
105,58,44,5.0,17.0,2,пешком,кирпичный/монолит,средний,1810.34,Север,Серпуховско-Тимирязевская
130,56,41,6.0,9.0,5,пешком,кирпичный/монолит,первый или последний,2321.43,Северо-запад,Замоскворецкая
125,80,45,13.0,13.0,10,на транспорте,другой,первый или последний,1562.5,Юго-восток,Люблинская
86,59,43,6.0,17.0,5,пешком,другой,средний,1457.63,Северо-запад,Таганско-Краснопресненская
105,60,41,8.0,4.5,10,пешком,кирпичный/монолит,первый или последний,1750.0,Восток,Арбатско-Покровская
118,68,49,11.0,7.5,7,пешком,другой,первый или последний,1735.29,Восток,Арбатско-Покровская
107,75,44,8.0,12.0,10,пешком,другой,первый или последний,1426.67,Юго-восток,Люблинская
100,65,46,6.0,15.5,7,пешком,другой,средний,1538.46,Север,Калужско-Рижская
195,83,55,9.0,9.0,3,пешком,кирпичный/монолит,средний,2349.4,Северо-запад,Замоскворецкая
120,66,40,19.0,7.5,10,пешком,кирпичный/монолит,средний,1818.18,Восток,Арбатско-Покровская
95,60,43,6.0,14.5,10,пешком,другой,средний,1583.33,Северо-запад,Замоскворецкая
110,58,43,6.0,14.5,10,пешком,кирпичный/монолит,средний,1896.55,Северо-запад,Замоскворецкая
80,55,41,5.0,11.5,3,пешком,кирпичный/монолит,средний,1454.55,Юго-восток,Таганско-Краснопресненская
97,75,45,10.0,13.0,5,на транспорте,другой,средний,1293.33,Юго-восток,Люблинская
92,63,39,8.0,15.5,5,пешком,другой,средний,1460.32,Север,Калужско-Рижская
130,75,44,8.0,12.7,3,пешком,другой,средний,1733.33,Юго-восток,Люблинская
235,92,52,15.0,3.5,3,пешком,другой,средний,2554.35,Восток,Калининская
93,60,38,8.0,12.0,5,пешком,другой,средний,1550.0,Юго-восток,Люблинская
95,82,48,8.0,13.0,10,пешком,другой,средний,1158.54,Юго-восток,Люблинская
115,77,46,10.0,12.7,7,пешком,другой,средний,1493.51,Юго-восток,Люблинская
140,76,44,10.0,12.0,2,пешком,другой,средний,1842.11,Юго-восток,Люблинская
92,82,48,8.0,13.0,12,на транспорте,другой,средний,1121.95,Юго-восток,Люблинская
89,60,44,6.0,14.5,7,пешком,кирпичный/монолит,средний,1483.33,Северо-запад,Замоскворецкая
230,103,51,14.0,14.5,15,пешком,кирпичный/монолит,средний,2233.01,Северо-запад,Замоскворецкая
95,64,40,8.0,15.5,15,пешком,другой,средний,1484.38,Север,Калужско-Рижская
156,83,55,9.0,10.5,10,пешком,кирпичный/монолит,средний,1879.52,Восток,Калининская
135,77,46,10.0,12.7,2,пешком,другой,средний,1753.25,Юго-восток,Люблинская
125,78,60,11.0,14.5,10,на транспорте,другой,средний,1602.56,Северо-запад,Замоскворецкая
122,74,50,8.0,10.5,10,пешком,кирпичный/монолит,первый или последний,1648.65,Северо-запад,Замоскворецкая
140,85,52,11.0,9.0,10,на транспорте,другой,средний,1647.06,Северо-запад,Замоскворецкая
95,64,45,6.0,14.5,10,пешком,другой,средний,1484.38,Север,Серпуховско-Тимирязевская
105,65,39,11.0,12.0,5,на транспорте,другой,средний,1615.38,Восток,Калининская
150,78,44,8.0,13.5,1,пешком,другой,средний,1923.08,Север,Калужско-Рижская
136,74,45,10.0,13.5,5,на транспорте,другой,средний,1837.84,Север,Калужско-Рижская
170,80,48,9.0,14.5,7,пешком,кирпичный/монолит,средний,2125.0,Северо-запад,Замоскворецкая
105,75,45,10.0,12.0,7,пешком,другой,средний,1400.0,Юго-восток,Люблинская
125,82,52,12.0,13.5,10,на транспорте,другой,первый или последний,1524.39,Юго-восток,Таганско-Краснопресненская
73,61,41,6.0,13.0,10,на транспорте,другой,первый или последний,1196.72,Юго-восток,Люблинская
93,78,46,10.0,12.0,15,на транспорте,другой,средний,1192.31,Восток,Калининская
95,64,45,7.0,12.5,10,пешком,другой,средний,1484.38,Север,Серпуховско-Тимирязевская
225,101,65,15.0,10.5,20,пешком,кирпичный/монолит,средний,2227.72,Северо-запад,Замоскворецкая
108,65,40,8.0,17.0,5,пешком,другой,средний,1661.54,Север,Серпуховско-Тимирязевская
92,60,45,6.0,9.0,7,на транспорте,кирпичный/монолит,средний,1533.33,Северо-запад,Замоскворецкая
90,57,38,6.0,7.5,6,пешком,кирпичный/монолит,первый или последний,1578.95,Северо-запад,Замоскворецкая
145,85,54,11.0,8.0,10,на транспорте,кирпичный/монолит,средний,1705.88,Север,Калужско-Рижская
93,67,47,6.0,12.0,5,на транспорте,другой,средний,1388.06,Восток,Калининская
160,80,56,9.0,12.0,5,пешком,кирпичный/монолит,средний,2000.0,Восток,Арбатско-Покровская
93,62,37,8.0,12.5,10,пешком,другой,средний,1500.0,Север,Серпуховско-Тимирязевская
90,57,43,6.0,12.0,5,пешком,кирпичный/монолит,средний,1578.95,Север,Калужско-Рижская
79,55,40,6.0,10.5,10,на транспорте,кирпичный/монолит,средний,1436.36,Северо-запад,Замоскворецкая
95,73,43,11.0,12.7,10,пешком,другой,первый или последний,1301.37,Юго-восток,Люблинская
110,75,52,9.0,7.5,10,на транспорте,кирпичный/монолит,средний,1466.67,Восток,Арбатско-Покровская
125,66,44,9.0,12.5,15,пешком,другой,средний,1893.94,Северо-запад,Замоскворецкая
299,99,65,11.0,9.0,10,пешком,кирпичный/монолит,средний,3020.2,Северо-запад,Замоскворецкая
127,77,46,10.0,12.5,10,пешком,другой,средний,1649.35,Север,Серпуховско-Тимирязевская
112,75,45,10.0,12.0,7,пешком,другой,средний,1493.33,Юго-восток,Люблинская
195,110,55,11.0,12.0,1,пешком,кирпичный/монолит,средний,1772.73,Восток,Калининская
170,81,60,13.0,13.0,5,пешком,другой,средний,2098.77,Юго-восток,Люблинская
95,67,45,9.0,13.5,10,на транспорте,другой,первый или последний,1417.91,Север,Калужско-Рижская
450,145,82,14.0,4.5,3,пешком,кирпичный/монолит,средний,3103.45,Восток,Арбатско-Покровская
160,85,56,12.0,6.5,10,пешком,кирпичный/монолит,средний,1882.35,Север,Серпуховско-Тимирязевская
165,78,46,10.0,5.0,10,пешком,другой,средний,2115.38,Северо-запад,Таганско-Краснопресненская
80,56,38,6.0,7.0,10,пешком,другой,средний,1428.57,Юго-восток,Люблинская
125,78,50,9.0,13.5,15,пешком,кирпичный/монолит,первый или последний,1602.56,Север,Калужско-Рижская
120,77,44,10.0,13.5,5,на транспорте,кирпичный/монолит,средний,1558.44,Юго-восток,Таганско-Краснопресненская
226,82,52,10.0,3.0,3,пешком,другой,средний,2756.1,Север,Калужско-Рижская
105,66,48,8.0,12.0,1,пешком,другой,первый или последний,1590.91,Юго-восток,Люблинская
120,66,43,10.0,9.0,10,на транспорте,другой,средний,1818.18,Северо-запад,Таганско-Краснопресненская
150,77,45,10.0,5.0,10,пешком,другой,средний,1948.05,Северо-запад,Таганско-Краснопресненская
103,77,46,11.0,13.0,5,на транспорте,другой,средний,1337.66,Юго-восток,Люблинская
115,57,42,6.0,10.5,4,на транспорте,кирпичный/монолит,средний,2017.54,Северо-запад,Замоскворецкая
140,87,57,7.0,10.5,3,пешком,кирпичный/монолит,средний,1609.2,Северо-запад,Замоскворецкая
185,80,53,9.0,7.5,15,пешком,кирпичный/монолит,средний,2312.5,Восток,Арбатско-Покровская
120,80,50,10.0,7.0,7,пешком,другой,средний,1500.0,Юго-восток,Люблинская
